,Time,C3,C4,Cz,FC1,FC2,FC5,FC6,CP1,CP2,CP5,CP6
45,0.16,-1.2531839133177588e-05,3.0345595044760032e-05,-5.767103701328601e-06,1.52892778268547e-05,2.588031744425962e-06,-1.604659515805505e-06,2.118615881167046e-06,-5.8116401869434095e-06,-2.139600412845896e-05,-9.580517773810714e-06,-2.7017814771426964e-07
46,0.168,-1.1026293905637807e-05,3.538313742240488e-05,-6.7032859589405225e-06,1.8958016566742905e-05,3.0550449854582507e-06,-2.450730370804722e-06,3.699717092865251e-07,-7.612348732310977e-06,-1.912716715868485e-05,-9.149198344697534e-06,-4.777041608422412e-06
47,0.176,-9.552907168653991e-06,3.820152262296574e-05,-6.161349612577673e-06,2.4259985495128305e-05,2.0136151493028785e-06,-1.316317229187568e-06,2.328960692997411e-06,-7.3402318252699775e-06,-2.1056867268942764e-05,-7.629732751523301e-06,-4.427758850005843e-06
48,0.184,-8.737476781907057e-06,4.059581059670184e-05,-5.2590920114932985e-06,2.8008988618320915e-05,1.3574274009653193e-07,-7.463232861258024e-08,4.533892790879655e-06,-5.808921272018266e-06,-2.19646167204126e-05,-3.95600399705611e-06,-2.222978582953583e-06
49,0.192,-9.468362754608896e-06,4.563502697495397e-05,-6.37714577763647e-06,3.146183298085377e-05,4.955811377409502e-08,-1.0955862719833803e-06,3.132840958232083e-06,-5.427773587264963e-06,-2.288316756632125e-05,-2.332671777346571e-06,-3.014708354235004e-06
50,0.2,-1.0445898088288593e-05,5.126217735960119e-05,-7.07430894877396e-06,3.957729729872017e-05,9.18228230502905e-07,-3.1623667914292495e-06,-2.4523092442105055e-07,-5.45492867032559e-06,-2.4852631769301128e-05,-3.8056308350956217e-06,-4.6369948612654454e-06
51,0.208,-7.210357867096256e-06,5.320503856301371e-05,-4.551851914563845e-06,4.621482889792851e-05,-3.757439213699791e-07,-2.877721500104344e-06,-1.0172216968005316e-06,-3.268152554509599e-06,-2.3725276503025074e-05,-4.435771130151873e-06,-3.9403822249034e-06
52,0.216,-2.7402896995096316e-06,5.0587264700635904e-05,-2.7806879655207514e-06,4.388936450008732e-05,-2.6946659445370307e-06,-9.05295691529769e-07,1.5054491526260882e-06,-1.4956271412017931e-06,-2.323311744335233e-05,-2.858468754295562e-06,-1.2062605749078096e-06
53,0.224,-4.350470924586192e-06,4.716634233647381e-05,-4.641165119183755e-06,3.9629074899182684e-05,-2.575935267160443e-06,-6.70686743885808e-07,3.1142400997167704e-06,-2.980361789333291e-06,-2.7370658486879312e-05,7.077869693013917e-07,-7.275999767629461e-08
54,0.232,-8.173679072787296e-06,4.8200751311064326e-05,-5.808774627091842e-06,3.7800895095203365e-05,-1.3545369069429511e-06,-1.1467361559365003e-06,2.6717456436984353e-06,-3.6680665560592227e-06,-2.5833785242177984e-05,5.2037102623609555e-06,-3.295299465306776e-06
55,0.24,-5.837582268457683e-06,5.231111474772666e-05,-4.086689069284606e-06,3.100452296987231e-05,-2.7715451882295613e-06,7.736364166255755e-07,4.282030865989203e-06,-1.1059569069104237e-06,-1.7390640646810457e-05,5.725291966236719e-06,-5.082466517549352e-06
56,0.248,-1.5047131439120458e-06,5.215161299971153e-05,-3.0990981472990554e-06,2.3520219448273486e-05,-5.0285251898558396e-06,2.3559932883749465e-06,6.514250486046672e-06,-8.778536317712926e-08,-1.7983679379993317e-05,1.5419043292739886e-06,-6.812136061573762e-07
